Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
BBC,8/25/2020,1595,1595,1595,1595,-1.85%,70,111650,-0.018461538,-0.01863408,1576.6,1556.95,1564.242793,1582.00697,33.87841833,-17.76417761,-34.32526298,33.14285714,1556.95,42.09197323,1641.133946,1472.766054,4661
BBC,8/26/2020,1570,1616,1570,1616,1.32%,90,16160,0.013166144,0.013080224,1599.8,1558.6,1572.20544,1584.524972,35.0105022,-12.31953251,-29.92411689,33.57142857,1558.6,43.77983193,1646.159664,1471.040336,4751
BBC,8/27/2020,1584,1584,1553,1553,-3.90%,80,126230,-0.038985149,-0.039765416,1602.6,1555.55,1569.250757,1582.189789,44.0897245,-12.93903243,-26.5271,37.21428571,1555.55,41.79709761,1639.144195,1471.955805,4671
BBC,8/30/2020,1553,1595,1584,1595,2.70%,60,95590,0.02704443,0.026685192,1596.8,1556.15,1573.212179,1583.138694,41.90552017,-9.926514895,-23.20698298,38.07142857,1556.15,42.29504761,1640.740095,1471.559905,4731
BBC,8/31/2020,1624,1624,1590,1590,-0.31%,254,408856,-0.003134796,-0.00313972,1589.8,1556.15,1575.794921,1583.646939,35.62457697,-7.852018083,-20.13599,39.21428571,1556.15,42.29504761,1640.740095,1471.559905,4477
BBC,9/2/2020,1619,1619,1590,1590,0.00%,150,241400,0,0,1588.8,1555.65,1577.980317,1584.117536,44.41919356,-6.13721838,-17.33623567,40.5,1555.65,41.8056594,1639.261319,1472.038681,4477
BBC,9/3/2020,1600,1600,1600,1600,0.63%,22,35200,0.006289308,0.006269613,1585.6,1557.15,1581.367961,1585.294015,54.53821233,-3.926053732,-14.65419929,39.07142857,1557.15,42.87223982,1642.89448,1471.40552,4499
BBC,9/6/2020,1600,1600,1571,1571,-1.81%,260,409184,-0.018125,-0.01829127,1589.2,1558.7,1579.77289,1584.235199,61.73012724,-4.462308737,-12.61582118,37.64285714,1558.7,42.77985261,1644.259705,1473.140295,4239
BBC,9/7/2020,1571,1571,1571,1571,0.00%,121,190091,0,0,1584.4,1560.25,1578.423215,1583.254814,61.60194175,-4.831599025,-11.05897675,35.5,1560.25,42.62798068,1645.505961,1474.994039,4239
BBC,9/9/2020,1600,1656,1600,1656,5.41%,354,574634,0.054105665,0.052692697,1597.6,1567.5,1590.358105,1588.643346,65.81502299,1.714758715,-8.504229654,40.78571429,1567.5,46.00743647,1659.514873,1475.485127,4593
BBC,9/10/2020,1689,1690,1689,1689,1.99%,168,283772,0.019927536,0.019731582,1617.4,1575.5,1605.533781,1596.077172,66.15742614,9.456608696,-4.912061984,42.85714286,1575.5,52.42387965,1680.347759,1470.652241,4761
BBC,9/13/2020,1656,1656,1640,1640,-2.90%,100,164800,-0.029011249,-0.029440396,1625.4,1580.5,1610.836276,1599.330715,63.67849312,11.50556115,-1.628537357,42.07142857,1580.5,53.61509999,1687.7302,1473.2698,4661
BBC,9/15/2020,1610,1621,1608,1621,-1.16%,150,297605,-0.011585366,-0.011652999,1635.4,1584.8,1612.399926,1600.935847,66.14177115,11.46407875,0.989985864,35.92857143,1584.8,53.22108802,1691.242176,1478.357824,4511
BBC,9/16/2020,1600,1650,1589,1650,1.79%,674,1088920,0.017890191,0.017732045,1651.2,1591.8,1618.184553,1604.570229,61.97403647,13.61432384,3.51485346,38.85714286,1591.8,52.05927795,1695.918556,1487.681444,5185
BBC,9/17/2020,1617,1712,1585,1712,3.76%,805,1529041,0.037575758,0.03688699,1662.4,1601.85,1632.617698,1612.52799,66.54553344,20.08970875,6.829824519,45.78571429,1601.85,54.96053608,1711.771072,1491.928928,5990
BBC,9/21/2020,1680,1710,1680,1710,-0.12%,50,84300,-0.001168224,-0.001168907,1666.6,1612.35,1644.522668,1619.748139,70.53031998,24.77452931,10.41876548,44.78571429,1612.35,54.53658839,1721.423177,1503.276823,5940
