Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
ADBL,3/20/2018,321,327,321,323,-0.62%,2133,689613,-0.006153846,-0.006172859,330.4,334.6,331.2736923,341.6439559,36.58536585,-10.37026358,-12.16195619,6.642857143,334.6,7.59778361,349.7955672,319.4044328,1069357
ADBL,3/21/2018,317,321,314,316,-2.17%,11081,3509630,-0.021671827,-0.02191011,326.6,332.9,328.9238935,339.7444036,44.18604651,-10.8205101,-11.89366697,7.071428571,332.9,7.772420879,348.4448418,317.3551582,1058276
ADBL,3/22/2018,319,320,310,316,0.00%,6600,2077890,0,0,322.8,331.2,326.9356022,337.9855589,50,-11.0499567,-11.72492492,7.071428571,331.2,7.550531525,346.3010631,316.0989369,1058276
ADBL,3/26/2018,310,313,299,300,-5.06%,10390,3161310,-0.050632911,-0.051959739,316,329.05,322.7916634,335.1718138,46.34146341,-12.38015039,-11.85597001,7.928571429,329.05,9.800510191,348.6510204,309.4489796,1047886
ADBL,3/27/2018,306,326,283,316,5.33%,16469,4927110,0.053333333,0.051959739,314.2,327.85,321.7467921,333.7516794,52.5,-12.00488733,-11.88575348,10.35714286,327.85,9.858338709,347.5666774,308.1333226,1064355
ADBL,3/28/2018,316,317,307,311,-1.58%,12154,3801930,-0.015822785,-0.015949301,311.8,326.4,320.0934395,332.0663698,37.20930233,-11.97293037,-11.90318885,10.5,326.4,10.10679813,346.6135963,306.1864037,1052201
ADBL,3/29/2018,311,320,311,318,2.25%,8252,2610650,0.022508039,0.022258471,312.2,325.4,319.7713718,331.0244165,23.25581395,-11.25304466,-11.77316001,10.71428571,325.4,9.885662132,345.1713243,305.6286757,1060453
ADBL,4/1/2018,320,320,308,314,-1.57%,6979,2181410,-0.012578616,-0.012658397,311.8,324.35,318.8834685,329.7633486,30.43478261,-10.87988013,-11.59450404,11.21428571,324.35,9.927500348,344.2050007,304.4949993,1053474
ADBL,4/2/2018,314,318,310,314,0.32%,6267,1957520,0,0,314.6,323.15,318.1321656,328.5956932,31.91489362,-10.46352752,-11.36830873,11.42857143,323.15,9.636962832,342.4239257,303.8760743,1053474
ADBL,4/3/2018,310,318,310,315,0.32%,3431,1080950,0.003184713,0.003179653,314.4,322.2,317.650294,327.5886048,28.26086957,-9.938310774,-11.08230914,11.57142857,322.2,9.445689632,341.0913793,303.3086207,1056905
ADBL,4/4/2018,316,326,315,325,3.17%,12813,4139090,0.031746032,0.031252544,317.2,322.05,318.781018,327.3968563,27.08333333,-8.615838273,-10.58901497,11.85714286,322.05,9.372271533,340.7945431,303.3054569,1069718
ADBL,4/5/2018,330,335,321,331,1.85%,22167,7296730,0.018461538,0.018293193,319.8,322.25,320.6608614,327.6637558,24.52830189,-7.002894424,-9.871790859,12.35714286,322.25,9.524898121,341.2997962,303.2002038,1091885
