Date,Symbol,Side,Quantity,Price,TradeValue,PnL,CashAfterTrade,TotalValue,EntryDate,EntryPrice,Reason
2013-03-20,OHL,BUY,10,124.0,1240.0,,1410.0,208490.0,2013-03-20,124.0,BUY: 3rd Month Low (Support reached)
2013-08-07,PCBL,BUY,350,319.0,111650.0,,51890.0,380460.0,2013-08-07,319.0,BUY: 3rd Month Low (Support reached)
2013-08-14,OHL,BUY,360,139.0,50040.0,,1850.0,195060.0,2013-08-14,139.0,BUY: 3rd Month Low (Support reached)
2013-09-24,JBBL,BUY,920,78.0,71760.0,,141770.0,240830.0,2013-09-24,78.0,BUY: 3rd Month Low (Support reached)
2013-09-30,MNBBL,BUY,490,286.0,140140.0,,1630.0,504990.0,2013-09-30,286.0,BUY: 3rd Month Low (Support reached)
2014-03-11,AHPC,BUY,250,439.0,109750.0,,256020.0,365770.0,2014-03-11,439.0,BUY: 3rd Month Low (Support reached)
2014-03-11,NMB,BUY,270,387.0,104490.0,,151530.0,352770.0,2014-03-11,387.0,BUY: 3rd Month Low (Support reached)
2014-03-17,CZBIL,BUY,260,438.0,113880.0,,37650.0,379290.0,2014-03-17,438.0,BUY: 3rd Month Low (Support reached)
2014-04-06,GBBL,BUY,340,259.0,88060.0,,69590.0,294920.0,2014-04-06,259.0,BUY: 3rd Month Low (Support reached)
2014-04-10,KBL,BUY,150,433.0,64950.0,,4640.0,446300.0,2014-04-10,433.0,BUY: 3rd Month Low (Support reached)
2014-05-19,ADBL,BUY,270,438.0,118260.0,,98320.0,396160.0,2014-05-19,438.0,BUY: 3rd Month Low (Support reached)
2014-06-09,ADBL,BUY,270,445.0,120150.0,,170920.0,406770.0,2014-06-09,445.0,BUY: 3rd Month Low (Support reached)
2014-08-21,NHPC,BUY,710,178.0,126380.0,,298340.0,424720.0,2014-08-21,178.0,BUY: 3rd Month Low (Support reached)
2014-08-24,AHPC,BUY,420,433.0,181860.0,,116480.0,605770.0,2014-08-24,433.0,BUY: 3rd Month Low (Support reached)
2014-08-25,JBBL,BUY,530,178.0,94340.0,,22140.0,317620.0,2014-08-25,178.0,BUY: 3rd Month Low (Support reached)
2014-09-07,MDB,BUY,40,442.0,17680.0,,4460.0,755860.0,2014-09-07,442.0,BUY: 3rd Month Low (Support reached)
2014-10-22,KBL,BUY,50,429.0,21450.0,,2330.0,735920.0,2014-10-22,429.0,BUY: 3rd Month Low (Support reached)
2015-03-11,PCBL,BUY,230,448.0,103040.0,,4760.0,636440.0,2015-03-11,448.0,BUY: 3rd Month Low (Support reached)
2015-03-29,GBBL,BUY,10,314.0,3140.0,,1620.0,447500.0,2015-03-29,314.0,BUY: 3rd Month Low (Support reached)
2015-08-25,AHPC,BUY,350,275.0,96250.0,,211500.0,324250.0,2015-08-25,275.0,BUY: 3rd Month Low (Support reached)
2015-08-31,NHPC,BUY,680,113.0,76840.0,,134660.0,257830.0,2015-08-31,113.0,BUY: 3rd Month Low (Support reached)
2015-10-25,JBBL,BUY,580,177.0,102660.0,,59060.0,344030.0,2015-10-25,177.0,BUY: 3rd Month Low (Support reached)
2015-10-27,GBBL,BUY,160,346.0,55360.0,,3700.0,616120.0,2015-10-27,346.0,BUY: 3rd Month Low (Support reached)
2016-03-01,OHL,BUY,370,405.0,149850.0,,56890.0,506440.0,2016-03-01,405.0,BUY: 3rd Month Low (Support reached)
2016-04-25,AHPC,BUY,450,306.0,137700.0,,149700.0,464880.0,2016-04-25,306.0,BUY: 3rd Month Low (Support reached)
2016-05-22,NHPC,BUY,670,177.0,118590.0,,178260.0,399510.0,2016-05-22,177.0,BUY: 3rd Month Low (Support reached)
2016-08-22,AHPC,BUY,440,354.0,155760.0,,164540.0,525620.0,2016-08-22,354.0,BUY: 3rd Month Low (Support reached)
2016-08-22,NHPC,BUY,570,184.0,104880.0,,59660.0,352220.0,2016-08-22,184.0,BUY: 3rd Month Low (Support reached)
2016-11-14,GBBL,BUY,450,363.0,163350.0,,19270.0,549250.0,2016-11-14,363.0,BUY: 3rd Month Low (Support reached)
2016-11-21,GBBL,BUY,450,392.0,176400.0,,21970.0,594290.0,2016-11-21,392.0,BUY: 3rd Month Low (Support reached)
2016-11-28,CZBIL,BUY,40,461.0,18440.0,,3530.0,695030.0,2016-11-28,461.0,BUY: 3rd Month Low (Support reached)
2016-12-21,OHL,BUY,440,461.0,202840.0,,8270.0,676720.0,2016-12-21,461.0,BUY: 3rd Month Low (Support reached)
2016-12-26,GBBL,BUY,10,388.0,3880.0,,4390.0,570870.0,2016-12-26,388.0,BUY: 3rd Month Low (Support reached)
2017-01-01,JBBL,BUY,10,278.0,2780.0,,1610.0,410270.0,2017-01-01,278.0,BUY: 3rd Month Low (Support reached)
2017-01-15,PCBL,BUY,450,435.0,195750.0,,19260.0,663060.0,2017-01-15,435.0,BUY: 3rd Month Low (Support reached)
2017-01-25,CZBIL,BUY,40,455.0,18200.0,,1060.0,692660.0,2017-01-25,455.0,BUY: 3rd Month Low (Support reached)
2017-02-05,GBBL,BUY,10,337.0,3370.0,,1820.0,514060.0,2017-02-05,337.0,BUY: 3rd Month Low (Support reached)
2017-03-26,KBL,BUY,10,354.0,3540.0,,1930.0,540010.0,2017-03-26,354.0,BUY: 3rd Month Low (Support reached)
2017-04-18,GBBL,BUY,510,328.0,167280.0,,52590.0,564270.0,2017-04-18,328.0,BUY: 3rd Month Low (Support reached)
2017-04-18,KBL,BUY,140,365.0,51100.0,,1490.0,621990.0,2017-04-18,365.0,BUY: 3rd Month Low (Support reached)
2017-04-26,GBBL,BUY,520,340.0,176800.0,,6760.0,588160.0,2017-04-26,340.0,BUY: 3rd Month Low (Support reached)
2017-04-27,JBBL,BUY,20,247.0,4940.0,,1820.0,429130.0,2017-04-27,247.0,BUY: 3rd Month Low (Support reached)
2017-08-23,AHPC,BUY,440,262.0,115280.0,,1820.0,455080.0,2017-08-23,262.0,BUY: 3rd Month Low (Support reached)
2017-09-07,NHPC,BUY,530,140.0,74200.0,,10840.0,247440.0,2017-09-07,140.0,BUY: 3rd Month Low (Support reached)
2017-09-11,NMB,BUY,20,461.0,9220.0,,1620.0,789930.0,2017-09-11,461.0,BUY: 3rd Month Low (Support reached)
2017-10-10,NMB,BUY,20,464.0,9280.0,,2040.0,795480.0,2017-10-10,464.0,BUY: 3rd Month Low (Support reached)
2017-11-09,NMB,BUY,20,463.0,9260.0,,2680.0,794410.0,2017-11-09,463.0,BUY: 3rd Month Low (Support reached)
2017-11-21,MDB,BUY,20,456.0,9120.0,,3320.0,783080.0,2017-11-21,456.0,BUY: 3rd Month Low (Support reached)
2017-12-18,PCBL,BUY,20,435.0,8700.0,,4200.0,748050.0,2017-12-18,435.0,BUY: 3rd Month Low (Support reached)
2018-01-29,CZBIL,BUY,50,280.0,14000.0,,1160.0,482760.0,2018-01-29,280.0,BUY: 3rd Month Low (Support reached)
2018-05-14,KBL,BUY,490,246.0,120540.0,,25380.0,401760.0,2018-05-14,246.0,BUY: 3rd Month Low (Support reached)
2018-05-31,NMB,BUY,50,414.0,20700.0,,4680.0,658800.0,2018-05-31,414.0,BUY: 3rd Month Low (Support reached)
2018-06-03,JBBL,BUY,20,144.0,2880.0,,1800.0,232200.0,2018-06-03,144.0,BUY: 3rd Month Low (Support reached)
2018-08-26,AHPC,BUY,440,132.0,58080.0,,1800.0,213000.0,2018-08-26,132.0,BUY: 3rd Month Low (Support reached)
2018-10-03,GBBL,BUY,240,178.0,42720.0,,1480.0,234660.0,2018-10-03,178.0,BUY: 3rd Month Low (Support reached)
2019-01-06,MNBBL,BUY,160,347.0,55520.0,,1160.0,421030.0,2019-01-06,347.0,BUY: 3rd Month Low (Support reached)
2019-01-30,CZBIL,BUY,50,210.0,10500.0,,1160.0,255260.0,2019-01-30,210.0,BUY: 3rd Month Low (Support reached)
2019-04-21,KBL,BUY,420,225.0,94500.0,,109500.0,318750.0,2019-04-21,225.0,BUY: 3rd Month Low (Support reached)
2019-05-26,PCBL,BUY,330,323.0,106590.0,,2910.0,409890.0,2019-05-26,323.0,BUY: 3rd Month Low (Support reached)
2019-06-12,ALICL,BUY,10,406.0,4060.0,,2150.0,509650.0,2019-06-12,406.0,BUY: 3rd Month Low (Support reached)
2019-08-27,AHPC,BUY,380,102.0,38760.0,,8270.0,129650.0,2019-08-27,102.0,BUY: 3rd Month Low (Support reached)
2019-09-01,FMDBL,BUY,10,378.0,3780.0,,4490.0,458090.0,2019-09-01,378.0,BUY: 3rd Month Low (Support reached)
2019-09-02,SANIMA,BUY,10,344.0,3440.0,,1050.0,417290.0,2019-09-02,344.0,BUY: 3rd Month Low (Support reached)
2019-11-07,NMB,BUY,50,345.0,17250.0,,1050.0,418500.0,2019-11-07,345.0,BUY: 3rd Month Low (Support reached)
2019-11-17,NHPC,BUY,380,51.0,19380.0,,1070.0,79610.0,2019-11-17,51.0,BUY: 3rd Month Low (Support reached)
2020-03-10,OHL,BUY,20,427.0,8540.0,,4830.0,658140.0,2020-03-10,427.0,BUY: 3rd Month Low (Support reached)
2020-03-17,SANIMA,BUY,10,334.0,3340.0,,1490.0,515850.0,2020-03-17,334.0,BUY: 3rd Month Low (Support reached)
2020-05-12,KBL,BUY,420,174.0,73080.0,,1490.0,269450.0,2020-05-12,174.0,BUY: 3rd Month Low (Support reached)
2020-06-29,PCBL,BUY,330,241.0,79530.0,,1490.0,372630.0,2020-06-29,241.0,BUY: 3rd Month Low (Support reached)
2020-10-13,NMB,BUY,180,411.0,73980.0,,170480.0,252680.0,2020-10-13,411.0,BUY: 3rd Month Low (Support reached)
2020-10-13,SBI,BUY,180,425.0,76500.0,,93980.0,255480.0,2020-10-13,425.0,BUY: 3rd Month Low (Support reached)
2020-11-02,SANIMA,BUY,240,325.0,78000.0,,175460.0,259960.0,2020-11-02,325.0,BUY: 3rd Month Low (Support reached)
2020-11-18,SBI,BUY,200,420.0,84000.0,,91460.0,284660.0,2020-11-18,420.0,BUY: 3rd Month Low (Support reached)
2020-12-06,SANIMA,BUY,260,320.0,83200.0,,199140.0,282340.0,2020-12-06,320.0,BUY: 3rd Month Low (Support reached)
2020-12-06,SBI,BUY,210,424.0,89040.0,,110100.0,309380.0,2020-12-06,424.0,BUY: 3rd Month Low (Support reached)
2020-12-20,MDB,BUY,230,391.0,89930.0,,114670.0,306260.0,2020-12-20,391.0,BUY: 3rd Month Low (Support reached)
2020-12-20,SBI,BUY,220,427.0,93940.0,,20730.0,323900.0,2020-12-20,427.0,BUY: 3rd Month Low (Support reached)
2020-12-27,AHPC,BUY,90,213.0,19170.0,,1560.0,171960.0,2020-12-27,213.0,BUY: 3rd Month Low (Support reached)
2021-01-17,BPCL,BUY,210,431.0,90510.0,,123100.0,312740.0,2021-01-17,431.0,BUY: 3rd Month Low (Support reached)
2021-02-23,BPCL,BUY,220,424.0,93280.0,,126000.0,316800.0,2021-02-23,424.0,BUY: 3rd Month Low (Support reached)
2021-02-28,ADBL,BUY,210,450.0,94500.0,,31500.0,328500.0,2021-02-28,450.0,BUY: 3rd Month Low (Support reached)
2021-03-03,JBBL,BUY,130,220.0,28600.0,,2900.0,176700.0,2021-03-03,220.0,BUY: 3rd Month Low (Support reached)
2021-04-19,AHPC,BUY,280,263.0,73640.0,,63610.0,252970.0,2021-04-19,263.0,BUY: 3rd Month Low (Support reached)
2021-04-25,NMB,BUY,140,421.0,58940.0,,4670.0,366730.0,2021-04-25,421.0,BUY: 3rd Month Low (Support reached)
2021-05-06,NMB,BUY,230,415.0,95450.0,,52300.0,330350.0,2021-05-06,415.0,BUY: 3rd Month Low (Support reached)
2021-08-17,SBI,BUY,260,405.0,105300.0,,247670.0,352970.0,2021-08-17,405.0,BUY: 3rd Month Low (Support reached)
2021-08-31,KBL,BUY,280,355.0,99400.0,,148270.0,339970.0,2021-08-31,355.0,BUY: 3rd Month Low (Support reached)
2021-08-31,NMB,BUY,260,449.0,116740.0,,31530.0,390730.0,2021-08-31,449.0,BUY: 3rd Month Low (Support reached)
2021-09-20,PCBL,BUY,60,480.0,28800.0,,2730.0,415530.0,2021-09-20,480.0,BUY: 3rd Month Low (Support reached)
2021-09-28,OHL,BUY,60,490.0,29400.0,,3930.0,425330.0,2021-09-28,490.0,BUY: 3rd Month Low (Support reached)
2021-10-03,AHPC,BUY,70,476.3,33341.0,,1555.0,415936.0,2021-10-03,476.3,BUY: 3rd Month Low (Support reached)
2021-11-14,OHL,BUY,70,486.0,34020.0,,3235.0,426055.0,2021-11-14,486.0,BUY: 3rd Month Low (Support reached)
2021-11-28,ADBL,BUY,70,491.0,34370.0,,5265.0,432435.0,2021-11-28,491.0,BUY: 3rd Month Low (Support reached)
2021-12-08,AHPC,BUY,10,420.0,4200.0,,1065.0,370665.0,2021-12-08,420.0,BUY: 3rd Month Low (Support reached)
2021-12-29,MDB,BUY,10,434.3,4343.0,,1187.0,383371.0,2021-12-29,434.3,BUY: 3rd Month Low (Support reached)
2022-01-06,CHCL,BUY,10,490.0,4900.0,,1067.0,432267.0,2022-01-06,490.0,BUY: 3rd Month Low (Support reached)
2022-03-02,MDB,BUY,10,470.0,4700.0,,1497.0,415097.0,2022-03-02,470.0,BUY: 3rd Month Low (Support reached)
2022-03-20,GBBL,BUY,10,490.0,4900.0,,1647.0,432847.0,2022-03-20,490.0,BUY: 3rd Month Low (Support reached)
2022-08-28,SBI,BUY,270,279.1,75357.0,,2652.0,251051.0,2022-08-28,279.1,BUY: 3rd Month Low (Support reached)
2022-09-01,NMB,BUY,250,244.0,61000.0,,60252.0,206652.0,2022-09-01,244.0,BUY: 3rd Month Low (Support reached)
2022-09-07,KBL,BUY,270,196.0,52920.0,,7332.0,177852.0,2022-09-07,196.0,BUY: 3rd Month Low (Support reached)
2022-09-16,OHL,BUY,10,436.0,4360.0,,2972.0,386652.0,2022-09-16,436.0,BUY: 3rd Month Low (Support reached)
2022-10-11,MNBBL,BUY,10,419.0,4190.0,,3357.0,372077.0,2022-10-11,419.0,BUY: 3rd Month Low (Support reached)
2022-10-11,PCBL,BUY,10,225.0,2250.0,,1107.0,201357.0,2022-10-11,225.0,BUY: 3rd Month Low (Support reached)
2022-11-13,ALICL,BUY,190,456.0,86640.0,,3140.0,363380.0,2022-11-13,456.0,BUY: 3rd Month Low (Support reached)
2022-12-01,EBL,BUY,230,463.0,106490.0,,9937.0,361817.0,2022-12-01,463.0,BUY: 3rd Month Low (Support reached)
2022-12-05,SANIMA,BUY,30,245.0,7350.0,,2587.0,196137.0,2022-12-05,245.0,BUY: 3rd Month Low (Support reached)
2023-01-23,MNBBL,BUY,240,426.9,102456.0,,20013.0,348726.0,2023-01-23,426.9,BUY: 3rd Month Low (Support reached)
2023-01-24,ADBL,BUY,60,312.0,18720.0,,1293.0,260253.0,2023-01-24,312.0,BUY: 3rd Month Low (Support reached)
2023-03-26,BPCL,BUY,10,315.1,3151.0,,1762.0,263295.0,2023-03-26,315.1,BUY: 3rd Month Low (Support reached)
2023-06-07,HBL,BUY,20,214.1,4282.0,,1030.0,180874.0,2023-06-07,214.1,BUY: 3rd Month Low (Support reached)
2023-08-07,HBL,BUY,20,212.0,4240.0,,1590.0,179670.0,2023-08-07,212.0,BUY: 3rd Month Low (Support reached)
2023-09-03,NMB,BUY,250,222.2,55550.0,,1590.0,188238.0,2023-09-03,222.2,BUY: 3rd Month Low (Support reached)
2023-09-10,KBL,BUY,250,158.0,39500.0,,4750.0,134310.0,2023-09-10,158.0,BUY: 3rd Month Low (Support reached)
2023-10-08,JBBL,BUY,10,301.0,3010.0,,1740.0,251570.0,2023-10-08,301.0,BUY: 3rd Month Low (Support reached)
2024-01-01,MDB,BUY,10,395.0,3950.0,,1030.0,328880.0,2024-01-01,395.0,BUY: 3rd Month Low (Support reached)
2024-01-24,MNBBL,BUY,250,380.0,95000.0,,1410.0,316810.0,2024-01-24,380.0,BUY: 3rd Month Low (Support reached)
2024-02-11,ADBL,BUY,60,240.0,14400.0,,1680.0,200880.0,2024-02-11,240.0,BUY: 3rd Month Low (Support reached)
2024-10-27,ADBL,BUY,190,354.8,67412.0,,167806.0,235218.0,2024-10-27,354.8,BUY: 3rd Month Low (Support reached)
2024-10-27,CZBIL,BUY,270,230.3,62181.0,,105625.0,211563.0,2024-10-27,230.3,BUY: 3rd Month Low (Support reached)
2024-10-27,SANIMA,BUY,230,319.0,73370.0,,32255.0,252365.0,2024-10-27,319.0,BUY: 3rd Month Low (Support reached)
2024-11-21,ADBL,BUY,230,357.0,82110.0,,150436.3,150436.3,2024-11-21,357.0,BUY: 3rd Month Low (Support reached)
2024-12-01,PCBL,BUY,70,277.4,19418.0,,131018.29999999999,131018.29999999999,2024-12-01,277.4,BUY: 3rd Month Low (Support reached)
2025-07-08,NHPC,BUY,280,210.1,58828.0,,278821.6,278821.6,2025-07-08,210.1,BUY: 3rd Month Low (Support reached)
2025-07-16,ALICL,BUY,40,493.5,19740.0,,259081.59999999998,259081.59999999998,2025-07-16,493.5,BUY: 3rd Month Low (Support reached)
2025-08-05,NHPC,BUY,290,218.7,63423.0,,539573.2,539573.2,2025-08-05,218.7,BUY: 3rd Month Low (Support reached)
2025-08-07,ALICL,BUY,40,497.2,19888.0,,519685.19999999995,519685.19999999995,2025-08-07,497.2,BUY: 3rd Month Low (Support reached)
2025-08-24,JBBL,BUY,10,332.0,3320.0,,516365.19999999995,516365.19999999995,2025-08-24,332.0,BUY: 3rd Month Low (Support reached)
